entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars
2025-12-05T16:00,2025-12-07T16:00,SHORT,132.4,134.386,10,-0.785,false,止损,12
2026-02-17T12:00,2026-02-17T16:00,SHORT,83.75,85.0062,9.84,-0.7724,false,止损,1
