entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars,capAfter
2025-09-15T09:00,2025-09-15T16:00,LONG,235.66,230.9468,33.33,-3.4497,false,止损,7,163.22
2025-09-16T14:00,2025-09-17T22:00,LONG,234.17,241.1951,32.64,4.7818,true,止盈,32,168
2025-09-18T19:00,2025-09-19T11:00,SHORT,248.24,240.7928,33.6,4.9224,true,止盈,16,172.92
2025-09-20T16:00,2025-09-21T22:00,LONG,240.29,235.4842,34.58,-3.579,false,止损,30,169.34
2025-09-22T03:00,2025-09-22T05:00,LONG,232.78,228.1244,33.87,-3.5055,false,止损,2,165.84
2025-09-23T03:00,2025-09-24T03:00,LONG,216.91,212.5718,33.17,-3.4331,false,止损,24,162.4
2025-09-24T05:00,2025-09-24T14:00,LONG,209.71,216.0013,32.48,4.7583,true,止盈,9,167.16
2025-09-25T02:00,2025-09-25T04:00,LONG,209.93,205.7314,33.43,-3.46,false,止损,2,163.7
2025-09-25T05:00,2025-09-25T11:00,LONG,205.36,201.2528,32.74,-3.3886,false,止损,6,160.31
2025-09-26T00:00,2025-09-26T11:00,LONG,195.58,191.6684,32.06,-3.3182,false,止损,11,157
2025-09-26T11:00,2025-09-26T16:00,LONG,193.38,199.1814,31.4,4.6001,true,止盈,5,161.6
2025-09-26T18:00,2025-09-28T17:00,SHORT,201.65,205.683,32.32,-3.3451,false,止损,47,158.25
2025-09-28T19:00,2025-09-28T23:00,SHORT,206.05,210.171,31.65,-3.2758,false,止损,4,154.97
2025-09-29T13:00,2025-09-30T15:00,LONG,208.73,204.5554,30.99,-3.2075,false,止损,26,151.77
2025-10-01T01:00,2025-10-01T04:00,LONG,210.52,206.3096,30.35,-3.1412,false,止损,3,148.63
2025-10-01T05:00,2025-10-01T08:00,LONG,208.88,215.1464,29.73,4.3554,true,止盈,3,152.98
2025-10-01T10:00,2025-10-01T16:00,SHORT,216.48,220.8096,30.6,-3.1671,false,止损,6,149.81
2025-10-02T05:00,2025-10-02T16:00,SHORT,224.02,228.5004,29.96,-3.1009,false,止损,11,146.71
2025-10-03T16:00,2025-10-04T14:00,SHORT,233.85,226.8345,29.34,4.2983,true,止盈,22,151.01
2025-10-04T16:00,2025-10-05T04:00,LONG,225.62,232.3886,30.2,4.4243,true,止盈,12,155.44
2025-10-05T06:00,2025-10-05T18:00,SHORT,235.06,228.0082,31.09,4.5547,true,止盈,12,159.99
2025-10-05T18:00,2025-10-06T06:00,SHORT,228.85,233.427,32,-3.312,false,止损,12,156.68
2025-10-07T00:00,2025-10-07T13:00,LONG,232.42,227.7716,31.34,-3.2437,false,止损,13,153.43
2025-10-07T16:00,2025-10-07T23:00,LONG,224.35,219.863,30.69,-3.1764,false,止损,7,150.26
2025-10-08T19:00,2025-10-09T08:00,SHORT,229.21,222.3337,30.05,4.4023,true,止盈,13,154.66
2025-10-10T04:00,2025-10-10T15:00,SHORT,221.13,214.4961,30.93,4.5312,true,止盈,11,159.19
2025-10-11T23:00,2025-10-12T00:00,LONG,177.28,173.7344,31.84,-3.2954,false,止损,1,155.9
