entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,marketTrend,holdBars
2025-11-12T16:00,2025-11-12T20:00,SHORT,2.3366,2.3646,15,-0.9512,false,止损,BEAR,1
2025-11-30T20:00,2025-12-01T00:00,SHORT,2.1536,2.0502,14.86,3.5153,true,止盈,BEAR,1
