entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars
2025-10-28T20:00,2025-10-29T16:00,SHORT,0.6454,0.6551,10,-0.7865,false,止损,5
2026-02-28T04:00,2026-02-28T12:00,SHORT,0.2648,0.2688,9.84,-0.7776,false,止损,2
