entryTime,exitTime,entry,exit,size,pnl,win,reason,holdBars,capAfter,rsiAtEntry
2025-10-20T05:00,2025-10-20T16:00,192.82,187.0354,48.89,7.1624,true,止盈,11,170.12,64.51482576858555
2025-10-20T21:00,2025-10-21T04:00,188.93,183.2621,51.04,7.4774,true,止盈,7,177.6,46.699791100768664
2025-10-21T14:00,2025-10-21T15:00,192.66,194.5866,53.28,-2.8505,false,止损,1,174.75,64.96744510809931
2025-10-21T15:00,2025-10-21T21:00,196.18,190.2946,52.42,7.6795,true,止盈,6,182.43,70.75700920368708
2025-10-21T21:00,2025-10-21T23:00,191.24,185.5028,54.73,8.0179,true,止盈,2,190.44,53.849400897432105
2025-10-23T10:00,2025-10-23T13:00,188.15,190.0315,57.13,-3.0565,false,止损,3,187.39,65.27257602539143
2025-10-23T20:00,2025-10-23T23:00,188.69,190.5769,56.22,-3.0078,false,止损,3,184.38,53.93560335143095
2025-10-24T10:00,2025-10-24T12:00,191.69,193.6069,55.31,-2.9591,false,止损,2,181.42,55.16736350349354
2025-10-24T14:00,2025-10-24T19:00,190.09,191.9909,54.43,-2.912,false,止损,5,178.51,46.72886361959227
2025-10-25T00:00,2025-10-25T07:00,192.88,194.8088,53.55,-2.8649,false,止损,7,175.64,55.684710631422334
2025-10-25T07:00,2025-10-26T09:00,193.86,195.7986,52.69,-2.8189,false,止损,26,172.82,57.75986263423353
2025-10-26T09:00,2025-10-26T11:00,195.84,197.7984,51.85,-2.774,false,止损,2,170.05,64.9728432928589
2025-10-26T11:00,2025-10-26T13:00,197.66,199.6366,51.01,-2.729,false,止损,2,167.32,68.1769079160369
2025-10-26T13:00,2025-10-26T22:00,198.95,200.9395,50.2,-2.6857,false,止损,9,164.64,71.83653484708631
2025-10-27T09:00,2025-10-27T16:00,199.88,201.8788,49.39,-2.6424,false,止损,7,161.99,49.58488893865771
2025-10-27T19:00,2025-10-28T01:00,199.96,201.9596,48.6,-2.6001,false,止损,6,159.39,48.50837398667065
2025-10-28T05:00,2025-10-28T06:00,198.66,200.6466,47.82,-2.5584,false,止损,1,156.83,44.19526082959684
2025-10-28T10:00,2025-10-28T13:00,200.24,202.2424,47.05,-2.5172,false,止损,3,154.32,48.92460338672175
2025-10-28T14:00,2025-10-28T20:00,199.46,193.4762,46.3,6.783,true,止盈,6,161.1,46.79076904223819
2025-10-29T14:00,2025-10-29T18:00,199.94,193.9418,48.33,7.0803,true,止盈,4,168.18,59.55366643540484
2025-10-30T03:00,2025-10-30T04:00,197.02,191.1094,50.45,7.3909,true,止盈,1,175.57,51.997240750670514
2025-10-31T17:00,2025-10-31T19:00,185.27,187.1227,52.67,-2.8178,false,止损,2,172.75,44.98158545843346
2025-11-01T02:00,2025-11-03T00:00,186.5,188.365,51.83,-2.7729,false,止损,46,169.98,48.36405872550469
2025-11-03T00:00,2025-11-03T03:00,186.52,180.9244,50.99,7.47,true,止盈,3,177.45,54.88666326185721
2025-11-05T19:00,2025-11-06T12:00,162.35,157.4795,53.24,7.7997,true,止盈,17,185.25,59.22689097757085
2025-11-07T17:00,2025-11-07T18:00,161.04,162.6504,55.58,-2.9735,false,止损,1,182.28,62.6524325221903
2025-11-07T18:00,2025-11-07T19:00,161.99,163.6099,54.68,-2.9254,false,止损,1,179.35,64.51130904775272
2025-11-07T19:00,2025-11-08T11:00,164.03,159.1091,53.81,7.8832,true,止盈,16,187.23,68.17446328033151
2025-11-08T11:00,2025-11-09T14:00,159.27,160.8627,56.17,-3.0051,false,止损,27,184.23,46.05187090736367
2025-11-09T15:00,2025-11-09T19:00,162.44,164.0644,55.27,-2.9569,false,止损,4,181.27,67.76791828603982
2025-11-09T19:00,2025-11-10T00:00,166.07,167.7307,54.38,-2.9093,false,止损,5,178.36,73.71587615565277
2025-11-10T13:00,2025-11-11T03:00,169.62,171.3162,53.51,-2.8628,false,止损,14,175.5,67.48740897256825
2025-11-11T04:00,2025-11-11T14:00,166.83,161.8251,52.65,7.7132,true,止盈,10,183.21,49.88811879173564
2025-11-13T13:00,2025-11-13T14:00,153.72,155.2572,54.96,-2.9404,false,止损,1,180.27,42.678566195342924
2025-11-15T20:00,2025-11-16T05:00,140.4,141.804,54.08,-2.8933,false,止损,9,177.38,42.97753323936529
2025-11-16T10:00,2025-11-16T15:00,142.87,138.5839,53.21,7.7953,true,止盈,5,185.18,57.58599393578186
2025-11-17T07:00,2025-11-17T11:00,141.25,142.6625,55.55,-2.9719,false,止损,4,182.2,59.60927176882014
2025-11-17T11:00,2025-11-17T13:00,141.81,137.5557,54.66,8.0077,true,止盈,2,190.21,60.90304572737458
2025-11-18T11:00,2025-11-18T14:00,137.77,139.1477,57.06,-3.0527,false,止损,3,187.16,59.0290366284011
2025-11-18T14:00,2025-11-18T15:00,137.45,138.8245,56.15,-3.004,false,止损,1,184.15,56.01804994140646
2025-11-18T21:00,2025-11-18T22:00,139.67,141.0667,55.25,-2.9559,false,止损,1,181.2,57.33474790475856
2025-11-19T01:00,2025-11-19T02:00,140.29,141.6929,54.36,-2.9083,false,止损,1,178.29,56.88474548243685
2025-11-19T03:00,2025-11-19T15:00,139.73,135.5381,53.49,7.8363,true,止盈,12,186.13,52.54845004308084
2025-11-20T13:00,2025-11-20T16:00,140.66,136.4402,55.84,8.1806,true,止盈,3,194.31,51.782865991473045
2025-11-23T03:00,2025-11-23T04:00,129.89,131.1889,58.29,-3.1185,false,止损,1,191.19,58.947398819594554
2025-11-23T05:00,2025-11-23T14:00,130.45,131.7545,57.36,-3.0688,false,止损,9,188.12,60.5649949067566
2025-11-23T14:00,2025-11-23T15:00,130.68,131.9868,56.44,-3.0195,false,止损,1,185.1,57.92348532117915
2025-11-23T16:00,2025-11-23T19:00,131.67,132.9867,55.53,-2.9709,false,止损,3,182.13,59.43875114783013
2025-11-23T23:00,2025-11-24T00:00,130.49,131.7949,54.64,-2.9232,false,止损,1,179.21,49.420656251186585
2025-11-24T04:00,2025-11-24T05:00,131.32,132.6332,53.76,-2.8762,false,止损,1,176.33,51.14313375466232
2025-11-24T06:00,2025-11-24T15:00,131.08,132.3908,52.9,-2.8302,false,止损,9,173.5,49.58775299727303
2025-11-24T17:00,2025-11-24T20:00,136.85,138.2185,52.05,-2.7847,false,止损,3,170.72,70.15172725298115
2025-11-25T08:00,2025-11-25T10:00,135.4,136.754,51.21,-2.7397,false,止损,2,167.98,48.93660232316805
2025-11-25T13:00,2025-11-25T16:00,135.37,136.7237,50.39,-2.6959,false,止损,3,165.28,47.783446315927506
2025-11-25T18:00,2025-11-25T20:00,136.25,137.6125,49.58,-2.6525,false,止损,2,162.63,52.791182379554094
2025-11-26T08:00,2025-11-26T17:00,137.87,139.2487,48.79,-2.6103,false,止损,9,160.02,51.25060120655225
2025-11-26T17:00,2025-11-26T18:00,140.67,142.0767,48.01,-2.5685,false,止损,1,157.45,63.61867805423093
2025-11-26T18:00,2025-11-28T01:00,144.55,140.2135,47.23,6.9192,true,止盈,31,164.37,72.53249392240124
2025-11-28T11:00,2025-11-28T13:00,140.88,142.2888,49.31,-2.6381,false,止损,2,161.73,49.941146385380016
2025-11-28T15:00,2025-11-28T17:00,141.56,137.3132,48.52,7.1082,true,止盈,2,168.84,52.34598823187559
2025-11-30T12:00,2025-11-30T13:00,137.48,138.8548,50.65,-2.7098,false,止损,1,166.13,57.76529695031386
2025-11-30T13:00,2025-11-30T23:00,139.18,135.0046,49.84,7.3016,true,止盈,10,173.43,68.25542465384788
2025-12-02T14:00,2025-12-02T15:00,132.89,134.2189,52.03,-2.7836,false,止损,1,170.65,72.1770545273356
2025-12-04T13:00,2025-12-04T15:00,142.16,143.5816,51.19,-2.7387,false,止损,2,167.91,48.181250974986604
2025-12-04T17:00,2025-12-04T19:00,142.08,137.8176,50.37,7.3792,true,止盈,2,175.29,47.8833743310388
2025-12-07T17:00,2025-12-07T18:00,134.69,136.0369,52.59,-2.8136,false,止损,1,172.47,59.007401400240454
2025-12-07T18:00,2025-12-07T22:00,135.94,131.8618,51.74,7.5799,true,止盈,4,180.05,62.75635903570368
2025-12-08T00:00,2025-12-08T01:00,131.53,132.8453,54.02,-2.8901,false,止损,1,177.16,45.306155740939246
2025-12-08T15:00,2025-12-09T15:00,135.45,136.8045,53.15,-2.8435,false,止损,24,174.32,50.49950509405458
2025-12-09T15:00,2025-12-09T16:00,138.37,139.7537,52.3,-2.7981,false,止损,1,171.52,68.92557558014312
2025-12-10T00:00,2025-12-10T04:00,137.22,138.5922,51.46,-2.7531,false,止损,4,168.77,51.61252883184837
2025-12-10T08:00,2025-12-10T20:00,138.43,139.8143,50.63,-2.7087,false,止损,12,166.06,54.14403029723699
2025-12-10T20:00,2025-12-11T00:00,138.26,134.1122,49.82,7.2986,true,止盈,4,173.36,54.155198351320486
2025-12-11T19:00,2025-12-11T20:00,133.82,135.1582,52.01,-2.7825,false,止损,1,170.58,54.62074778996723
2025-12-11T20:00,2025-12-11T21:00,136.04,137.4004,51.17,-2.7376,false,止损,1,167.84,63.547697489611146
2025-12-11T22:00,2025-12-12T02:00,136.09,137.4509,50.35,-2.6937,false,止损,4,165.14,61.462200733930004
2025-12-15T07:00,2025-12-15T14:00,132.3,133.623,49.54,-2.6504,false,止损,7,162.49,58.00032519336945
2025-12-17T00:00,2025-12-17T14:00,128.85,130.1385,48.75,-2.6081,false,止损,14,159.89,54.226434335911236
2025-12-17T14:00,2025-12-17T15:00,132.58,133.9058,47.97,-2.5664,false,止盈,1,157.32,70.16528383311359
2025-12-18T13:00,2025-12-18T14:00,126.3,127.563,47.2,-2.5252,false,止损,1,154.79,59.76770057349685
2025-12-18T14:00,2025-12-18T15:00,125.81,127.0681,46.44,-2.4845,false,止损,1,152.31,56.77985931496971
2025-12-18T15:00,2025-12-18T17:00,127.35,123.5295,45.69,6.6936,true,止盈,2,159,63.03443244974649
2025-12-19T09:00,2025-12-19T12:00,124.71,125.9571,47.7,-2.552,false,止损,3,156.45,58.34200281768582
2025-12-19T15:00,2025-12-19T16:00,125,126.25,46.94,-2.5113,false,止损,1,153.94,56.91202846028191
2025-12-19T17:00,2025-12-19T18:00,123.58,124.8158,46.18,-2.4706,false,止损,1,151.47,49.22222387072397
2025-12-19T23:00,2025-12-22T00:00,126.18,127.4418,45.44,-2.431,false,止损,49,149.04,57.54884598604136
2025-12-22T01:00,2025-12-22T08:00,125.98,127.2398,44.71,-2.392,false,止损,7,146.65,54.69725335188192
2025-12-22T08:00,2025-12-22T10:00,125.57,126.8257,43.99,-2.3535,false,止损,2,144.29,49.23897252697042
2025-12-22T12:00,2025-12-22T14:00,126.91,128.1791,43.29,-2.316,false,止损,2,141.98,58.669190821137974
2025-12-22T14:00,2025-12-23T07:00,127.77,123.9369,42.59,6.2394,true,止盈,17,148.22,64.45581787543975
2025-12-25T00:00,2025-12-25T15:00,122.13,123.3513,44.46,-2.3786,false,止损,15,145.84,45.44378974046156
2025-12-25T15:00,2025-12-25T23:00,123.58,119.8726,43.75,6.4094,true,止盈,8,152.25,61.76299905678051
2025-12-26T03:00,2025-12-26T07:00,122.59,123.8159,45.67,-2.4433,false,止损,4,149.8,51.56506456583295
2025-12-26T07:00,2025-12-26T09:00,122.66,123.8866,44.94,-2.4043,false,止损,2,147.4,51.054264144426845
2025-12-27T04:00,2025-12-27T21:00,122.94,124.1694,44.22,-2.3658,false,止损,17,145.03,53.12892875119449
2025-12-27T21:00,2025-12-29T00:00,124.48,125.7248,43.51,-2.3278,false,止损,27,142.71,66.47192392639333
2025-12-29T00:00,2025-12-29T01:00,126.95,128.2195,42.81,-2.2903,false,止损,1,140.42,73.69342510676509
2025-12-29T09:00,2025-12-29T14:00,126.05,122.2685,42.12,6.1706,true,止盈,5,146.59,50.74912628847575
2025-12-30T10:00,2025-12-30T16:00,124.53,125.7753,43.98,-2.3529,false,止损,6,144.23,54.52299629584076
2025-12-30T17:00,2025-12-31T02:00,124.66,125.9066,43.27,-2.3149,false,止损,9,141.92,52.81111785966197
2025-12-31T02:00,2025-12-31T14:00,125.91,127.1691,42.58,-2.278,false,止损,12,139.64,63.79950189172489
2025-12-31T14:00,2026-01-01T23:00,125.73,126.9873,41.89,-2.2411,false,止损,33,137.4,53.57612166077768
2026-01-01T23:00,2026-01-02T09:00,126.86,128.1286,41.22,-2.2053,false,止损,10,135.19,67.43812023109709
2026-01-02T09:00,2026-01-02T16:00,129.33,130.6233,40.56,-2.17,false,止损,7,133.02,74.00717728572349
2026-01-03T07:00,2026-01-03T09:00,130.03,131.3303,39.91,-2.1352,false,止损,2,130.89,47.61582317183551
2026-01-21T14:00,2026-01-21T15:00,129.46,130.7546,39.27,-2.1009,false,止损,1,128.79,57.376655356077144
2026-01-21T15:00,2026-01-21T16:00,130.36,126.4492,38.64,5.6608,true,止盈,1,134.45,61.585594691926204
2026-01-21T19:00,2026-01-22T15:00,131.44,127.4968,40.33,5.9083,true,止盈,20,140.36,60.33860059867541
2026-01-23T19:00,2026-01-25T16:00,128.04,124.1988,42.11,6.1691,true,止盈,45,146.53,49.88578545698512
2026-01-26T19:00,2026-01-27T16:00,124.26,125.5026,43.96,-2.3519,false,止损,21,144.17,57.249669287853386
2026-01-27T16:00,2026-01-27T21:00,126.27,127.5327,43.25,-2.3139,false,止损,5,141.86,66.19261921967396
2026-01-28T04:00,2026-01-28T10:00,126.77,128.0377,42.56,-2.277,false,止损,6,139.58,58.66918059198944
2026-01-28T10:00,2026-01-29T02:00,127.25,123.4325,41.87,6.134,true,止盈,16,145.72,58.652481988539115
2026-01-31T09:00,2026-01-31T14:00,116.27,112.7819,43.72,6.405,true,止盈,5,152.12,42.53539235189624
2026-02-03T10:00,2026-02-03T17:00,102.83,99.7451,45.64,6.6863,true,止盈,7,158.81,45.15709211201746
