entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars,capAfter
2025-09-15T05:00,2025-09-15T08:00,LONG,116469.3,115304.607,50,-2.675,false,止损,3,163.99
2025-09-15T08:00,2025-09-22T06:00,LONG,114708.4,113561.316,49.2,-2.6322,false,止损,166,161.36
2025-09-22T06:00,2025-09-23T02:00,LONG,112764.9,111637.251,48.41,-2.5899,false,止损,20,158.77
2025-09-23T02:00,2025-09-25T13:00,LONG,111754.2,110636.658,47.63,-2.5482,false,止损,59,156.22
2025-09-25T17:00,2025-09-28T23:00,LONG,108787.7,112051.331,46.87,6.8665,true,止盈,78,163.09
2025-09-28T23:00,2025-09-29T13:00,SHORT,112100.9,113221.909,48.93,-2.6178,false,止损,14,160.47
2025-09-29T13:00,2025-09-29T19:00,SHORT,113157.9,114289.479,48.14,-2.5755,false,止损,6,157.89
2025-09-30T09:00,2025-10-01T08:00,LONG,112750.1,116132.603,47.37,6.9397,true,止盈,23,164.83
2025-10-01T08:00,2025-10-01T14:00,SHORT,116048.7,117209.187,49.45,-2.6456,false,止损,6,162.19
2025-10-02T13:00,2025-10-02T19:00,SHORT,119559.1,120754.691,48.66,-2.6033,false,止损,6,159.59
2025-10-02T19:00,2025-10-03T15:00,SHORT,120759.1,121966.691,47.88,-2.5616,false,止损,20,157.02
2025-10-03T15:00,2025-10-03T16:00,SHORT,122199.9,123421.899,47.11,-2.5204,false,止损,1,154.5
2025-10-03T16:00,2025-10-05T02:00,SHORT,122498.1,123723.081,46.35,-2.4797,false,止损,34,152.02
2025-10-05T02:00,2025-10-05T04:00,SHORT,123996.2,125236.162,45.61,-2.4401,false,止损,2,149.58
2025-10-05T04:00,2025-10-07T15:00,SHORT,125138.9,121384.733,44.88,6.5749,true,止盈,59,156.16
2025-10-07T15:00,2025-10-07T18:00,LONG,121804.7,120586.653,46.85,-2.5065,false,止损,3,153.65
2025-10-08T15:00,2025-10-08T17:00,SHORT,122141,123362.41,46.1,-2.4664,false,止损,2,151.19
2025-10-08T17:00,2025-10-09T16:00,SHORT,123980.7,120261.279,45.36,6.6452,true,止盈,23,157.83
2025-10-09T16:00,2025-10-10T15:00,LONG,119764.3,118566.657,47.35,-2.5332,false,止损,23,155.3
2025-10-10T15:00,2025-10-10T17:00,LONG,118976.7,117786.933,46.59,-2.4926,false,止损,2,152.81
2025-10-10T17:00,2025-10-10T19:00,LONG,117594,116418.06,45.84,-2.4524,false,止损,2,150.35
2025-10-10T20:00,2025-10-10T21:00,LONG,114179.9,113038.101,45.11,-2.4134,false,止损,1,147.94
2025-10-10T21:00,2025-10-10T22:00,LONG,113152.8,112021.272,44.38,-2.3743,false,止损,1,145.56
2025-10-11T19:00,2025-10-11T20:00,LONG,111134.1,110022.759,43.67,-2.3363,false,止损,1,143.23
2025-10-11T20:00,2025-10-12T15:00,LONG,110185.1,113490.653,42.97,6.2951,true,止盈,19,149.52
2025-10-12T16:00,2025-10-12T20:00,SHORT,114022.4,115162.624,44.86,-2.4,false,止损,4,147.12
2025-10-13T19:00,2025-10-14T06:00,SHORT,115733.9,112261.883,44.14,6.4665,true,止盈,11,153.59
2025-10-14T06:00,2025-10-14T10:00,LONG,111930,110810.7,46.08,-2.4653,false,止损,4,151.12
2025-10-15T03:00,2025-10-15T08:00,SHORT,111974.4,113094.144,45.34,-2.4257,false,止损,5,148.7
2025-10-15T13:00,2025-10-15T17:00,LONG,111339,110225.61,44.61,-2.3866,false,止损,4,146.31
2025-10-16T15:00,2025-10-16T20:00,LONG,108494,107409.06,43.89,-2.3481,false,止损,5,143.96
2025-10-17T07:00,2025-10-17T08:00,LONG,105577.9,104522.121,43.19,-2.3107,false,止损,1,141.65
2025-10-17T08:00,2025-10-17T10:00,LONG,104838.9,103790.511,42.5,-2.2737,false,止损,2,139.38
2025-10-18T18:00,2025-10-19T09:00,SHORT,106794.1,107862.041,41.81,-2.2368,false,止损,15,137.14
2025-10-19T09:00,2025-10-20T05:00,LONG,107346,110566.38,41.14,6.027,true,止盈,20,143.17
2025-10-20T05:00,2025-10-21T04:00,SHORT,110970.6,107641.482,42.95,6.2922,true,止盈,23,149.46
2025-10-21T04:00,2025-10-21T14:00,LONG,107745.9,110978.277,44.84,6.5691,true,止盈,10,156.03
2025-10-21T14:00,2025-10-21T15:00,SHORT,112126.9,113248.169,46.81,-2.5043,false,止损,1,153.53
2025-10-21T15:00,2025-10-21T22:00,SHORT,113356.3,109955.611,46.06,6.7478,true,止盈,7,160.27
2025-10-22T00:00,2025-10-22T15:00,SHORT,107932.1,109011.421,48.08,-2.5723,false,止损,15,157.7
2025-10-22T21:00,2025-10-23T16:00,LONG,107157.7,110372.431,47.31,6.9309,true,止盈,19,164.63
2025-10-26T11:00,2025-10-26T22:00,SHORT,113228.9,114361.189,49.39,-2.6424,false,止损,11,161.99
2025-10-27T06:00,2025-10-28T20:00,SHORT,115971.4,112492.258,48.6,7.1199,true,止盈,38,169.11
2025-10-28T20:00,2025-10-29T15:00,LONG,112743.3,111615.867,50.73,-2.7141,false,止损,19,166.4
2025-10-29T15:00,2025-10-29T18:00,LONG,111469.5,110354.805,49.92,-2.6707,false,止损,3,163.73
2025-10-29T18:00,2025-10-30T04:00,LONG,110734,109626.66,49.12,-2.6279,false,止损,10,161.1
2025-10-30T04:00,2025-10-30T13:00,LONG,108514.3,107429.157,48.33,-2.5857,false,止损,9,158.51
2025-10-30T13:00,2025-10-30T19:00,LONG,107582.8,106506.972,47.55,-2.5439,false,止损,6,155.97
2025-11-02T07:00,2025-11-03T04:00,SHORT,110838.2,107513.054,46.79,6.8547,true,止盈,21,162.82
2025-11-03T04:00,2025-11-03T10:00,LONG,107854.5,106775.955,48.85,-2.6135,false,止损,6,160.21
2025-11-04T05:00,2025-11-04T14:00,LONG,104176.8,103135.032,48.06,-2.5712,false,止损,9,157.64
2025-11-04T17:00,2025-11-04T18:00,LONG,101063.1,100052.469,47.29,-2.53,false,止损,1,155.11
2025-11-06T09:00,2025-11-07T12:00,SHORT,102763.2,99680.304,46.53,6.8166,true,止盈,27,161.93
2025-11-07T12:00,2025-11-07T17:00,LONG,99598.2,102586.146,48.58,7.117,true,止盈,5,169.04
2025-11-07T19:00,2025-11-08T05:00,LONG,103342.1,102308.679,50.71,-2.713,false,止损,10,166.33
2025-11-08T11:00,2025-11-09T13:00,SHORT,101811.9,102830.019,49.9,-2.6697,false,止损,26,163.66
2025-11-09T13:00,2025-11-10T00:00,LONG,102858.1,105943.843,49.1,7.1931,true,止盈,11,170.85
2025-11-11T07:00,2025-11-12T16:00,SHORT,104745.6,101603.232,51.26,7.5096,true,止盈,33,178.36
2025-11-12T16:00,2025-11-13T17:00,LONG,101400.8,100386.792,53.51,-2.8628,false,止损,25,175.5
2025-11-13T17:00,2025-11-13T18:00,LONG,99600.2,98604.198,52.65,-2.8168,false,止损,1,172.68
2025-11-13T18:00,2025-11-14T04:00,LONG,98544.5,97559.055,51.8,-2.7713,false,止损,10,169.91
2025-11-14T12:00,2025-11-14T20:00,LONG,95323,94369.77,50.97,-2.7269,false,止损,8,167.18
2025-11-15T20:00,2025-11-16T16:00,LONG,95242.1,94289.679,50.16,-2.6836,false,止损,20,164.5
2025-11-16T16:00,2025-11-16T22:00,LONG,94182.2,93240.378,49.35,-2.6402,false,止损,6,161.86
2025-11-17T13:00,2025-11-17T14:00,SHORT,93926.8,94866.068,48.56,-2.598,false,止损,1,159.26
2025-11-17T17:00,2025-11-17T19:00,LONG,92731.5,91804.185,47.78,-2.5562,false,止损,2,156.71
2025-11-17T19:00,2025-11-18T02:00,LONG,91651.2,90734.688,47.01,-2.515,false,止损,7,154.19
2025-11-18T16:00,2025-11-18T21:00,LONG,93444.6,92510.154,46.26,-2.4749,false,止损,5,151.72
2025-11-19T04:00,2025-11-19T15:00,SHORT,91133.9,92045.239,45.52,-2.4353,false,止损,11,149.28
2025-11-19T15:00,2025-11-19T17:00,LONG,89901.7,89002.683,44.78,-2.3957,false,止损,2,146.89
2025-11-20T01:00,2025-11-20T09:00,LONG,92553.2,91627.668,44.07,-2.3577,false,止损,8,144.53
2025-11-20T16:00,2025-11-20T17:00,LONG,87844.5,86966.055,43.36,-2.3198,false,止损,1,142.21
2025-11-20T17:00,2025-11-20T18:00,LONG,87194.8,86322.852,42.66,-2.2823,false,止损,1,139.93
2025-11-20T18:00,2025-11-21T02:00,LONG,86448,85583.52,41.98,-2.2459,false,止损,8,137.68
2025-11-21T09:00,2025-11-21T12:00,LONG,82176.2,81354.438,41.3,-2.2096,false,止损,3,135.47
2025-11-23T01:00,2025-11-23T04:00,SHORT,85823.5,86681.735,40.64,-2.1742,false,止损,3,133.3
2025-11-23T20:00,2025-11-24T17:00,SHORT,87439.8,88314.198,39.99,-2.1395,false,止损,21,131.16
2025-11-24T17:00,2025-11-26T17:00,SHORT,88321,89204.21,39.35,-2.1052,false,止损,48,129.05
2025-11-26T17:00,2025-11-27T01:00,SHORT,89787,90684.87,38.72,-2.0715,false,止损,8,126.98
2025-11-27T18:00,2025-11-28T14:00,SHORT,91727.9,92645.179,38.09,-2.0378,false,止损,20,124.94
2025-11-30T01:00,2025-12-01T00:00,LONG,90865,89956.35,37.48,-2.0052,false,止损,23,122.94
2025-12-01T00:00,2025-12-01T04:00,LONG,86969.7,86100.003,36.88,-1.9731,false,止损,4,120.96
2025-12-02T14:00,2025-12-02T15:00,SHORT,89212.9,90105.029,36.29,-1.9415,false,止损,1,119.02
2025-12-02T15:00,2025-12-02T17:00,SHORT,90792.8,91700.728,35.71,-1.9105,false,止损,2,117.11
2025-12-02T17:00,2025-12-03T01:00,SHORT,91402.1,92316.121,35.13,-1.8795,false,止损,8,115.23
2025-12-03T21:00,2025-12-05T13:00,SHORT,93643.4,90834.098,34.57,5.0645,true,止盈,40,120.3
2025-12-05T13:00,2025-12-05T16:00,LONG,90425.8,89521.542,36.09,-1.9308,false,止损,3,118.37
2025-12-05T16:00,2025-12-07T14:00,LONG,88777.6,87889.824,35.51,-1.8998,false,止损,46,116.47
2025-12-07T14:00,2025-12-07T17:00,LONG,88182.5,90827.975,34.94,5.1187,true,止盈,3,121.59
2025-12-07T17:00,2025-12-07T21:00,LONG,90904,89994.96,36.48,-1.9517,false,止损,4,119.63
2025-12-08T16:00,2025-12-08T20:00,SHORT,89940.5,90839.905,35.89,-1.9201,false,止损,4,117.71
2025-12-09T15:00,2025-12-09T16:00,SHORT,92657.1,93583.671,35.31,-1.8891,false,止损,1,115.82
2025-12-09T16:00,2025-12-11T00:00,SHORT,94140.2,91315.994,34.75,5.0909,true,止盈,32,120.92
2025-12-11T00:00,2025-12-11T02:00,LONG,91346.2,90432.738,36.27,-1.9404,false,止损,2,118.97
2025-12-11T02:00,2025-12-11T21:00,LONG,90054.9,92756.547,35.69,5.2286,true,止盈,19,124.2
2025-12-11T21:00,2025-12-12T15:00,SHORT,92816.5,90032.005,37.26,5.4586,true,止盈,18,129.66
2025-12-12T15:00,2025-12-14T11:00,LONG,89885.5,88986.645,38.9,-2.0811,false,止损,44,127.58
2025-12-14T11:00,2025-12-14T20:00,LONG,89314,88420.86,38.27,-2.0474,false,止损,9,125.53
2025-12-15T14:00,2025-12-15T15:00,LONG,88013,87132.87,37.66,-2.0148,false,止损,1,123.52
2025-12-15T15:00,2025-12-15T16:00,LONG,87002,86131.98,37.06,-1.9827,false,止损,1,121.54
2025-12-15T16:00,2025-12-15T18:00,LONG,86353,85489.47,36.46,-1.9506,false,止损,2,119.59
2025-12-16T15:00,2025-12-16T17:00,LONG,87924.6,87045.354,35.88,-1.9196,false,止损,2,117.67
2025-12-17T05:00,2025-12-17T13:00,SHORT,86586.1,87451.961,35.3,-1.8885,false,止损,8,115.78
2025-12-17T14:00,2025-12-17T16:00,SHORT,89624.9,86936.153,34.73,5.0879,true,止盈,2,120.86
2025-12-17T18:00,2025-12-18T02:00,SHORT,85795.9,86653.859,36.26,-1.9399,false,止损,8,118.93
2025-12-18T09:00,2025-12-18T17:00,LONG,87235.9,86363.541,35.68,-1.9089,false,止损,8,117.02
2025-12-18T19:00,2025-12-19T03:00,LONG,84444,86977.32,35.1,5.1422,true,止盈,8,122.16
2025-12-19T06:00,2025-12-22T11:00,LONG,87450,90073.5,36.65,5.3692,true,止盈,77,127.53
2025-12-22T20:00,2025-12-26T02:00,SHORT,88311,89194.11,38.26,-2.0469,false,止损,78,125.48
2025-12-26T02:00,2025-12-29T03:00,SHORT,89140,90031.4,37.64,-2.0137,false,止损,73,123.47
2025-12-29T03:00,2025-12-29T12:00,SHORT,90054,87352.38,37.04,5.4264,true,止盈,9,128.89
2025-12-29T12:00,2025-12-29T14:00,SHORT,87329,88202.29,38.67,-2.0688,false,止损,2,126.82
2025-12-30T10:00,2026-01-02T16:00,LONG,87899.9,90536.897,38.05,5.5743,true,止盈,78,132.4
2026-01-02T16:00,2026-01-04T00:00,SHORT,90340.7,91244.107,39.72,-2.125,false,止损,32,130.27
2026-01-04T00:00,2026-01-05T00:00,SHORT,91282.1,92194.921,39.08,-2.0908,false,止损,24,128.18
2026-01-05T00:00,2026-01-05T01:00,SHORT,92368.1,93291.781,38.45,-2.0571,false,止损,1,126.13
2026-01-05T01:00,2026-01-05T15:00,SHORT,92919.7,93848.897,37.84,-2.0244,false,止损,14,124.1
2026-01-05T17:00,2026-01-06T18:00,SHORT,94253.7,91426.089,37.23,5.4542,true,止盈,25,129.56
2026-01-08T06:00,2026-01-13T09:00,LONG,89849.9,92545.397,38.87,5.6945,true,止盈,123,135.25
2026-01-13T15:00,2026-01-13T20:00,SHORT,93394.1,94328.041,40.58,-2.171,false,止损,5,133.08
2026-01-13T22:00,2026-01-14T14:00,SHORT,95712.9,96670.029,39.92,-2.1357,false,止损,16,130.94
2026-01-14T14:00,2026-01-14T16:00,SHORT,96441.3,97405.713,39.28,-2.1015,false,止损,2,128.84
2026-01-14T16:00,2026-01-16T15:00,SHORT,97240.5,94323.285,38.65,5.6622,true,止盈,47,134.5
2026-01-16T15:00,2026-01-18T23:00,LONG,94544,93598.56,40.35,-2.1587,false,止损,56,132.35
2026-01-18T23:00,2026-01-19T00:00,LONG,93631.9,92695.581,39.7,-2.1239,false,止损,1,130.22
2026-01-19T00:00,2026-01-20T05:00,LONG,92665.6,91738.944,39.07,-2.0902,false,止损,29,128.13
