entryTime,exitTime,dir,entry,exit,size,pnl,win,reason
2025-12-03T09:30,2025-12-03T22:45,SHORT,92856.9,93785.47,125,-13.375,false,止损
2025-12-04T00:45,2025-12-04T02:15,SHORT,93008,93938.08,121.66,-13.0176,false,止损
2025-12-04T05:00,2025-12-04T19:00,SHORT,93156,91292.88,118.4,22.8512,true,止盈
2025-12-04T22:30,2025-12-05T09:15,LONG,92417.9,91493.72,124.11,-13.2798,false,止损
2025-12-06T03:00,2025-12-07T13:15,LONG,89718.4,88821.22,120.79,-12.9245,false,止损
2025-12-07T16:15,2025-12-07T17:30,LONG,89294.4,91080.29,117.56,22.6891,true,止盈
2025-12-08T01:15,2025-12-08T15:00,LONG,91100.1,90189.1,123.24,-13.1867,false,止损
2025-12-08T21:00,2025-12-09T03:15,LONG,90708.3,89801.22,119.94,-12.8335,false,止损
2025-12-09T07:30,2025-12-09T15:45,LONG,90419.9,92228.3,116.73,22.5289,true,止盈
2025-12-09T21:45,2025-12-10T20:00,SHORT,92593.4,93519.33,122.36,-13.0925,false,止损
2025-12-10T22:00,2025-12-11T02:00,SHORT,92148.3,90305.33,119.09,22.9844,true,止盈
2025-12-11T18:00,2025-12-11T21:00,LONG,90281.9,92087.54,124.84,24.0941,true,止盈
2025-12-12T09:00,2025-12-12T15:30,SHORT,92301.5,90455.47,130.86,25.256,true,止盈
2025-12-13T03:45,2025-12-14T11:30,LONG,90295,89392.05,137.17,-14.6772,false,止损
2025-12-15T01:30,2025-12-15T14:45,LONG,89023.3,88133.07,133.5,-14.2845,false,止损
2025-12-16T00:15,2025-12-16T03:30,LONG,86316.1,85452.94,129.93,-13.9025,false,止损
2025-12-16T06:00,2025-12-16T15:45,LONG,86181.5,87905.13,126.46,24.4068,true,止盈
2025-12-17T00:30,2025-12-17T14:45,SHORT,87398.1,88272.08,132.56,-14.1839,false,止损
2025-12-17T16:30,2025-12-18T13:00,SHORT,86581,87446.81,129.01,-13.8041,false,止损
2025-12-18T17:00,2025-12-18T19:30,SHORT,86346.6,84619.67,125.56,24.2331,true,止盈
2025-12-19T03:00,2025-12-19T07:00,LONG,86324,88050.48,131.62,25.4027,true,止盈
2025-12-19T17:15,2025-12-20T05:15,SHORT,87580.9,88456.71,137.97,-14.7628,false,止损
2025-12-20T10:00,2025-12-22T00:00,SHORT,88215.8,89097.96,134.28,-14.368,false,止损
2025-12-22T02:30,2025-12-22T08:00,SHORT,88348.9,89232.39,130.69,-13.9838,false,止损
2025-12-22T15:30,2025-12-23T05:30,SHORT,89364.4,87577.11,127.19,24.5477,true,止盈
2025-12-23T11:45,2025-12-23T14:45,LONG,87812,86933.88,133.33,-14.2663,false,止损
2025-12-23T16:30,2025-12-24T02:45,LONG,87798.1,86920.12,129.76,-13.8843,false,止损
2025-12-24T11:00,2025-12-24T14:30,LONG,87248,86375.52,126.29,-13.513,false,止损
2025-12-24T14:45,2025-12-24T22:00,SHORT,86945,87814.45,122.91,-13.1514,false,止损
2025-12-25T13:45,2025-12-26T02:30,LONG,87582.3,89333.95,119.63,23.0886,true,止盈
2025-12-26T11:00,2025-12-26T15:00,SHORT,88642.9,86870.04,125.4,24.2022,true,止盈
2025-12-26T21:00,2025-12-29T03:00,LONG,87606.2,89358.32,131.45,25.3698,true,止盈
2025-12-29T09:15,2025-12-29T12:00,SHORT,89284,87498.32,137.79,26.5935,true,止盈
2025-12-30T04:15,2025-12-30T16:15,LONG,87400.2,89148.2,144.44,27.8769,true,止盈
2025-12-30T19:00,2025-12-31T11:30,SHORT,88032.9,88913.23,151.41,-16.2009,false,止损
2025-12-31T14:45,2026-01-02T09:45,SHORT,88455.4,89339.95,147.36,-15.7675,false,止损
2026-01-02T14:15,2026-01-02T14:45,SHORT,88853.3,89741.83,143.42,-15.3459,false,止损
2026-01-02T14:45,2026-01-04T00:00,LONG,89528.7,91319.27,139.58,26.9389,true,止盈
2026-01-04T12:00,2026-01-05T00:45,SHORT,91203.7,92115.74,146.31,-15.6552,false,止损
2026-01-05T14:15,2026-01-05T15:15,SHORT,92731.9,93659.22,142.4,-15.2368,false,止损
2026-01-05T23:45,2026-01-06T17:30,SHORT,93825.8,91949.28,138.59,26.7479,true,止盈
2026-01-06T21:15,2026-01-07T01:15,LONG,93478.3,92543.52,145.28,-15.5449,false,止损
2026-01-07T01:15,2026-01-07T19:15,SHORT,92509.5,90659.31,141.39,27.2883,true,止盈
2026-01-07T23:45,2026-01-08T06:00,LONG,91333.9,90420.56,148.21,-15.8585,false,止损
2026-01-08T15:30,2026-01-12T02:45,LONG,90408.4,92216.57,144.25,27.8403,true,止盈
2026-01-12T07:45,2026-01-13T09:00,SHORT,91390,92303.9,151.21,-16.1795,false,止损
2026-01-14T05:30,2026-01-14T14:30,SHORT,94975.5,95925.26,147.16,-15.7462,false,止损
2026-01-14T23:45,2026-01-16T15:15,SHORT,96900,94962,143.23,27.6434,true,止盈
2026-01-16T20:45,2026-01-18T23:15,LONG,95508.1,94553.02,150.14,-16.065,false,止损
2026-01-19T08:30,2026-01-19T23:15,LONG,93091.7,92160.78,146.12,-15.6349,false,止损
2026-01-21T03:15,2026-01-21T12:00,LONG,89235,88342.65,142.21,-15.2165,false,止损
2026-01-21T14:15,2026-01-21T16:30,LONG,89549.1,88653.61,138.41,-14.8099,false,止损
2026-01-21T19:30,2026-01-22T14:30,LONG,90004.8,89104.75,134.71,-14.414,false,止损
2026-01-22T18:30,2026-01-23T14:30,LONG,89620,88723.8,131.1,-14.0277,false,止损
2026-01-23T14:45,2026-01-23T16:00,SHORT,88967.2,89856.87,127.6,-13.6532,false,止损
2026-01-23T20:30,2026-01-25T16:15,SHORT,89378.7,87591.13,124.18,23.9667,true,止盈
2026-01-26T01:15,2026-01-27T20:45,LONG,87599.9,89351.9,130.18,25.1248,true,止盈
2026-01-28T04:00,2026-01-28T11:45,SHORT,88907.9,89796.98,136.46,-14.6012,false,止损
2026-01-28T15:15,2026-01-28T17:45,SHORT,89227.9,90120.18,132.81,-14.2107,false,止损
2026-01-28T19:00,2026-01-29T14:30,SHORT,89329.1,87542.52,129.25,24.9452,true,止盈
2026-01-30T11:45,2026-01-30T18:15,LONG,83098.4,82267.42,135.49,-14.4974,false,止损
2026-01-30T18:15,2026-01-30T18:45,SHORT,82464.8,83289.45,131.87,-14.1101,false,止损
2026-01-30T18:45,2026-01-31T08:15,LONG,83889,83050.11,128.34,-13.7324,false,止损
2026-02-01T00:00,2026-02-01T01:00,LONG,79299.2,78506.21,124.91,-13.3653,false,止损
2026-02-01T06:00,2026-02-01T15:15,SHORT,78668.1,77094.74,121.56,23.461,true,止盈
2026-02-02T00:15,2026-02-02T01:00,LONG,77900.1,77121.1,127.43,-13.635,false,止损
2026-02-02T02:30,2026-02-02T03:15,SHORT,76936.8,75398.06,124.02,23.9359,true,止盈
2026-02-02T07:30,2026-02-02T12:15,LONG,76519.1,78049.48,130,25.09,true,止盈
2026-02-02T20:15,2026-02-03T01:00,SHORT,78365.5,79149.15,136.28,-14.5819,false,止损
2026-02-03T04:30,2026-02-03T06:00,LONG,78935,78145.65,132.63,-14.1914,false,止损
2026-02-03T07:15,2026-02-03T14:30,LONG,78632.2,77845.88,129.08,-13.8115,false,止损
2026-02-03T21:15,2026-02-03T22:15,LONG,76456.3,75691.74,125.63,-13.4424,false,止损
2026-02-03T23:00,2026-02-04T01:00,SHORT,75744.8,76502.25,122.27,-13.0829,false,止损
2026-02-04T08:15,2026-02-04T14:45,SHORT,76082.6,74560.95,119,22.967,true,止盈
2026-02-05T09:15,2026-02-05T10:45,LONG,71698.1,70981.12,124.74,-13.3472,false,止损
2026-02-05T10:45,2026-02-05T12:15,SHORT,70822.9,69406.44,121.4,23.4302,true,止盈
