entryTime,exitTime,entry,exit,size,pnl,win,reason,holdBars,capAfter,rsiAtEntry
2025-11-23T16:00,2025-11-23T19:00,86642,87508.42,55.31,-2.9591,false,止损,3,181.42,59.08429671109417
2025-11-23T20:00,2025-11-24T17:00,87439.8,88314.198,54.42,-2.9115,false,止损,21,178.5,66.06214095804218
2025-11-24T17:00,2025-11-26T17:00,88321,89204.21,53.55,-2.8649,false,止损,48,175.64,65.44184678629522
2025-11-26T17:00,2025-11-27T01:00,89787,90684.87,52.69,-2.8189,false,止损,8,172.82,69.41596241238601
2025-11-27T18:00,2025-11-28T14:00,91727.9,92645.179,51.85,-2.774,false,止损,20,170.05,68.53755339145168
2025-11-28T16:00,2025-11-30T13:00,90884.4,91793.244,51.01,-2.729,false,止损,45,167.32,45.10825791090507
2025-11-30T13:00,2025-12-01T00:00,91715,88963.55,50.2,7.3543,true,止盈,11,174.67,65.384235003154
2025-12-02T14:00,2025-12-02T15:00,89212.9,90105.029,52.4,-2.8034,false,止损,1,171.87,71.60839137662411
2025-12-03T21:00,2025-12-05T13:00,93643.4,90834.098,51.56,7.5535,true,止盈,40,179.42,65.40371438220973
2025-12-07T17:00,2025-12-08T07:00,90904,91813.04,53.83,-2.8799,false,止损,14,176.54,64.65956686496577
2025-12-08T12:00,2025-12-09T15:00,91717.4,92634.574,52.96,-2.8334,false,止损,27,173.71,60.83882369432472
2025-12-09T15:00,2025-12-09T16:00,92657.1,93583.671,52.11,-2.7879,false,止损,1,170.92,70.61707477068043
2025-12-10T00:00,2025-12-10T10:00,92088.6,93009.486,51.28,-2.7435,false,止损,10,168.18,52.83055697100457
2025-12-10T10:00,2025-12-10T19:00,92237.6,93159.976,50.45,-2.6991,false,止损,9,165.48,50.720305739006044
2025-12-10T19:00,2025-12-10T20:00,92916.5,93845.665,49.64,-2.6557,false,止损,1,162.82,60.487952687694396
2025-12-10T20:00,2025-12-11T03:00,92409.7,89637.409,48.85,7.1565,true,止盈,7,169.98,52.554792668336994
2025-12-11T20:00,2025-12-11T21:00,91735.6,92652.956,50.99,-2.728,false,止损,1,167.25,62.43817735591695
2025-12-11T21:00,2025-12-12T15:00,92816.5,90032.005,50.18,7.3514,true,止盈,18,174.6,70.31392443855194
2025-12-15T11:00,2025-12-15T15:00,89604.8,86916.656,52.38,7.6737,true,止盈,4,182.28,54.50683668328582
2025-12-16T16:00,2025-12-17T14:00,87543.2,88418.632,54.68,-2.9254,false,止损,22,179.35,55.331828508570034
2025-12-17T14:00,2025-12-17T16:00,89624.9,86936.153,53.81,7.8832,true,止盈,2,187.23,72.57150149279822
2025-12-18T11:00,2025-12-18T13:00,87264.1,88136.741,56.17,-3.0051,false,止损,2,184.23,56.52733600265716
2025-12-18T13:00,2025-12-18T17:00,88802.9,86138.813,55.27,8.0971,true,止盈,4,192.33,69.89178768180807
2025-12-19T11:00,2025-12-19T15:00,88165.6,89047.256,57.7,-3.0869,false,止损,4,189.24,63.12604796482892
2025-12-19T15:00,2025-12-19T16:00,87911.9,88791.019,56.77,-3.0372,false,止损,1,186.2,58.31482023584446
2025-12-19T17:00,2025-12-19T19:00,86900,87769,55.86,-2.9885,false,止损,2,183.21,45.914139881648794
2025-12-19T21:00,2025-12-21T08:00,87799.7,88677.697,54.96,-2.9404,false,止损,35,180.27,54.71845663025361
2025-12-21T10:00,2025-12-22T00:00,88634.4,89520.744,54.08,-2.8933,false,止损,14,177.38,61.903904853008385
2025-12-22T00:00,2025-12-22T08:00,88587.1,89472.971,53.21,-2.8467,false,止损,8,174.53,56.93812541565317
2025-12-22T09:00,2025-12-23T06:00,89777.1,87083.787,52.36,7.6707,true,止盈,21,182.2,73.90393798630826
2025-12-24T23:00,2025-12-25T15:00,87622.9,88499.129,54.66,-2.9243,false,止损,16,179.28,54.03098810041991
2025-12-25T15:00,2025-12-26T02:00,88324.1,89207.341,53.78,-2.8772,false,止损,11,176.4,67.32492141405277
2025-12-26T02:00,2025-12-29T03:00,89140,90031.4,52.92,-2.8312,false,止损,73,173.57,68.44409988544464
2025-12-29T09:00,2025-12-30T15:00,88084.9,88965.749,52.07,-2.7857,false,止损,30,170.78,43.59038818989936
2025-12-30T15:00,2026-01-02T10:00,88961.1,89850.711,51.24,-2.7413,false,止损,67,168.04,73.09558540452733
2026-01-02T10:00,2026-01-02T16:00,89626.8,90523.068,50.41,-2.6969,false,止损,6,165.35,73.5418278625916
2026-01-02T18:00,2026-01-03T21:00,89726.3,90623.563,49.6,-2.6536,false,止损,27,162.69,60.29364952433655
2026-01-09T17:00,2026-01-12T02:00,91372.3,92286.023,48.81,-2.6113,false,止损,57,160.08,57.108099009611664
2026-01-12T03:00,2026-01-13T14:00,91768.5,92686.185,48.02,-2.5691,false,止损,35,157.51,65.17443898778978
2026-01-23T05:00,2026-01-23T17:00,89565.4,90461.054,47.25,-2.5279,false,止损,12,154.98,49.41475875075864
2026-01-23T17:00,2026-01-25T16:00,90562,87845.14,46.5,6.8123,true,止盈,47,161.8,64.52091200018593
2026-01-26T16:00,2026-01-26T19:00,87578.5,88454.285,48.54,-2.5969,false,止损,3,159.2,45.50390413699657
2026-01-26T19:00,2026-01-27T03:00,87968.3,88847.983,47.76,-2.5552,false,止损,8,156.65,51.759899956557824
2026-01-27T03:00,2026-01-28T10:00,88735.2,89622.552,46.99,-2.514,false,止损,31,154.13,61.51286676887372
2026-01-28T10:00,2026-01-28T13:00,89361.1,90254.711,46.24,-2.4738,false,止损,3,151.66,57.911595820861315
2026-01-28T13:00,2026-01-29T14:00,90209.2,87502.924,45.5,6.6657,true,止盈,25,158.32,66.17977157019276
2026-02-02T16:00,2026-02-03T17:00,78587.7,76230.069,47.5,6.9587,true,止盈,25,165.28,57.95411163315272
2026-02-06T18:00,2026-02-06T19:00,69725.9,70423.159,49.58,-2.6525,false,止损,1,162.63,60.94224571616542
2026-02-06T20:00,2026-02-06T22:00,69939.4,70638.794,48.79,-2.6103,false,止损,2,160.02,59.97454159875891
2026-02-07T00:00,2026-02-07T01:00,69925,70624.25,48.01,-2.5685,false,止损,1,157.45,56.79643942087839
2026-02-07T02:00,2026-02-07T04:00,70309.9,71012.999,47.24,-2.5273,false,止损,2,154.92,58.19978858435013
2026-02-07T05:00,2026-02-07T07:00,70134.4,68030.368,46.48,6.8093,true,止盈,2,161.73,55.73236175657618
2026-02-07T10:00,2026-02-07T12:00,67950.9,68630.409,48.52,-2.5958,false,止损,2,159.14,44.119862050550466
2026-02-07T19:00,2026-02-08T08:00,69344.6,70038.046,47.74,-2.5541,false,止损,13,156.58,53.201606615903735
2026-02-08T08:00,2026-02-08T13:00,70619.8,71325.998,46.97,-2.5129,false,止损,5,154.07,64.8658623008078
2026-02-08T13:00,2026-02-08T23:00,71471.5,72186.215,46.22,-2.4728,false,止损,10,151.6,68.3442163365919
2026-02-08T23:00,2026-02-09T03:00,70288,70990.88,45.48,-2.4332,false,止损,4,149.16,49.53677442771171
2026-02-09T04:00,2026-02-09T10:00,70960.2,68831.394,44.75,6.5559,true,止盈,6,155.72,55.25486374581365
2026-02-09T18:00,2026-02-09T20:00,70383.9,71087.739,46.72,-2.4995,false,止损,2,153.22,53.870386181914014
2026-02-09T20:00,2026-02-10T11:00,70693.5,68572.695,45.97,6.7346,true,止盈,15,159.95,55.85797668354342
2026-02-12T12:00,2026-02-12T16:00,67835.2,65800.144,47.99,7.0305,true,止盈,4,166.99,54.62135190995388
2026-02-13T12:00,2026-02-13T14:00,67043.7,67714.137,50.1,-2.6804,false,止损,2,164.3,55.2172694109275
2026-02-13T15:00,2026-02-13T16:00,68656,69342.56,49.29,-2.637,false,止损,1,161.67,70.52635146070534
2026-02-13T16:00,2026-02-14T08:00,68924.5,69613.745,48.5,-2.5947,false,止损,16,159.07,72.29136623904935
2026-02-14T08:00,2026-02-14T11:00,69708.3,70405.383,47.72,-2.553,false,止损,3,156.52,72.32829081363937
2026-02-15T00:00,2026-02-15T04:00,69738,70435.38,46.96,-2.5124,false,止损,4,154.01,58.280627459969466
2026-02-15T04:00,2026-02-15T07:00,70154.2,70855.742,46.2,-2.4717,false,止损,3,151.54,63.402771424146664
2026-02-15T07:00,2026-02-15T17:00,70777.8,68654.466,45.46,6.6599,true,止盈,10,158.2,71.43359467149618
2026-02-16T10:00,2026-02-16T12:00,68762,69449.62,47.46,-2.5391,false,止损,2,155.66,47.701661364633914
2026-02-16T12:00,2026-02-16T15:00,69729.9,67638.003,46.7,6.8415,true,止盈,3,162.5,61.7483989555432
2026-02-16T22:00,2026-02-18T18:00,68563.8,66506.886,48.75,7.1419,true,止盈,44,169.64,50.0786535983227
2026-02-19T21:00,2026-02-20T05:00,66899,67567.99,50.89,-2.7226,false,止损,8,166.92,51.97278872311021
2026-02-20T07:00,2026-02-21T14:00,67795.6,68473.556,50.08,-2.6793,false,止损,31,164.24,65.76592379996343
2026-02-21T14:00,2026-02-23T01:00,68412.1,66359.737,49.27,7.2181,true,止盈,35,171.46,63.74443508331795
2026-02-25T01:00,2026-02-25T13:00,65858.1,66516.681,51.44,-2.752,false,止损,12,168.7,70.26767519855815
2026-02-25T14:00,2026-02-25T16:00,66929.6,67598.896,50.61,-2.7076,false,止损,2,166,73.30482284545965
2026-02-26T13:00,2026-02-27T12:00,67870.2,65834.094,49.8,7.2957,true,止盈,23,173.29,52.655360314617305
2026-02-28T21:00,2026-02-28T22:00,66688.2,67355.082,51.99,-2.7815,false,止损,1,170.51,61.75976451623552
2026-03-01T00:00,2026-03-01T01:00,66755,67422.55,51.15,-2.7365,false,止损,1,167.77,60.51267286567423
2026-03-01T06:00,2026-03-02T15:00,66888.4,67557.284,50.33,-2.6927,false,止损,33,165.08,56.9853262987924
2026-03-02T15:00,2026-03-02T16:00,69084.3,69775.143,49.52,-2.6493,false,止损,1,162.43,69.76860907932651
2026-03-02T16:00,2026-03-03T08:00,69383.1,67301.607,48.73,7.1389,true,止盈,16,169.57,71.06801733349627
2026-03-03T19:00,2026-03-04T07:00,68403.4,69087.434,50.87,-2.7215,false,止损,12,166.85,56.85420594024285
2026-03-04T07:00,2026-03-04T08:00,69460.1,70154.701,50.05,-2.6777,false,止损,1,164.17,64.88034039131388
2026-03-09T06:00,2026-03-09T09:00,67231.3,67903.613,49.25,-2.6349,false,止损,3,161.54,51.76289639100302
2026-03-09T10:00,2026-03-09T12:00,67567.2,68242.872,48.46,-2.5926,false,止损,2,158.94,53.981332229781046
2026-03-09T17:00,2026-03-09T19:00,68557.8,69243.378,47.68,-2.5509,false,止损,2,156.39,59.110657436016915
2026-03-09T20:00,2026-03-10T02:00,68915,69604.15,46.92,-2.5102,false,止损,6,153.88,61.34918233272727
2026-03-10T18:00,2026-03-11T13:00,69979.9,70679.699,46.17,-2.4701,false,止损,19,151.41,50.60208778045374
2026-03-12T01:00,2026-03-12T11:00,69801,70499.01,45.42,-2.43,false,止损,10,148.98,45.38245443399559
