entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars
2025-11-12T16:00,2025-11-12T20:00,SHORT,2.3366,2.3716,10,-0.784,false,止损,1
2025-11-30T20:00,2025-12-01T00:00,SHORT,2.1536,2.0567,9.84,2.1793,true,止盈,1
2025-12-31T16:00,2026-01-01T08:00,SHORT,1.8278,1.8552,10.28,-0.8065,false,止损,4
